project_id,project_name,sector,state,implementing_agency,approved_cost_crore,physical_progress_pct,financial_progress_pct,schedule_progress_pct,delay_days,change_orders,land_acquisition_issue,contractor_health_score,material_inflation_pct,pending_clearances,primary_driver,cost_overrun_pct,time_overrun_pct,status
PMN-1148,Water Infrastructure Package 148,Water & Sanitation,Assam,Health Infrastructure Cell,403.13,38.6,25.7,93.7,138,8,1,64.7,4.3,0,Material price escalation,57.6,100.0,At Risk
PMN-1149,Water Infrastructure Package 149,Water & Sanitation,Bihar,State PWD,324.77,92.4,87.4,81.6,0,1,0,70.2,2.3,2,Design change,0.0,8.0,On Track
PMN-1150,Water Infrastructure Package 150,Water & Sanitation,Maharashtra,Rural Works Department,343.53,70.1,87.0,84.1,58,2,1,60.7,6.8,1,Clearance dependency,33.8,81.6,At Risk
PMN-1151,Health Infrastructure Package 151,Health,Assam,Municipal Corporation,453.18,52.6,79.7,56.9,54,1,0,74.7,4.8,2,Material price escalation,21.0,99.5,At Risk
PMN-1152,Energy Infrastructure Package 152,Energy,Rajasthan,State PWD,476.1,84.1,63.6,23.1,0,3,0,64.7,5.1,2,Contractor capacity,0.0,7.9,On Track
PMN-1153,Water Infrastructure Package 153,Water & Sanitation,Assam,Health Infrastructure Cell,593.12,5.9,7.9,52.9,148,9,0,42.0,9.0,4,Material price escalation,65.2,100.0,At Risk
PMN-1154,Education Infrastructure Package 154,Education,Gujarat,Municipal Corporation,383.72,37.6,15.3,92.4,182,9,0,18.0,7.5,1,Design change,56.3,100.0,At Risk
PMN-1155,Water Infrastructure Package 155,Water & Sanitation,Gujarat,Rural Works Department,296.38,63.1,79.3,40.5,0,0,0,47.0,6.8,4,Design change,7.9,0.0,On Track
PMN-1156,Education Infrastructure Package 156,Education,Uttar Pradesh,State PWD,369.69,81.3,62.4,100.0,36,2,0,83.3,7.8,3,Monsoon disruption,12.0,40.1,At Risk
PMN-1157,Health Infrastructure Package 157,Health,Tamil Nadu,State PWD,632.77,86.5,100.0,54.1,0,2,0,57.6,7.8,1,Material price escalation,8.4,11.8,On Track
PMN-1158,Education Infrastructure Package 158,Education,Tamil Nadu,Urban Development Authority,700.34,31.6,2.0,92.9,131,1,0,36.6,6.3,1,Clearance dependency,34.1,100.0,At Risk
PMN-1159,Energy Infrastructure Package 159,Energy,Tamil Nadu,Health Infrastructure Cell,113.94,48.0,38.1,61.5,47,2,0,65.7,7.9,3,Material price escalation,21.0,71.1,At Risk
PMN-1160,Water Infrastructure Package 160,Water & Sanitation,Maharashtra,Health Infrastructure Cell,554.9,82.9,65.5,26.3,0,0,0,43.4,3.7,0,Monsoon disruption,0.0,0.0,On Track
PMN-1161,Education Infrastructure Package 161,Education,Tamil Nadu,State PWD,491.26,61.6,63.7,41.3,0,0,0,75.2,5.3,3,Design change,0.0,0.0,On Track
PMN-1162,Urban Development Infrastructure Package 162,Urban Development,Tamil Nadu,Urban Development Authority,640.97,75.7,69.3,34.6,0,1,1,55.7,5.9,1,Clearance dependency,0.0,11.7,On Track
PMN-1163,Urban Development Infrastructure Package 163,Urban Development,Gujarat,Rural Works Department,674.34,53.8,81.9,31.7,0,3,0,68.5,9.3,2,Material price escalation,24.0,1.1,On Track
PMN-1164,Roads Infrastructure Package 164,Roads & Transport,Rajasthan,Municipal Corporation,189.83,83.5,99.4,87.1,8,2,1,45.7,5.8,3,Design change,30.7,25.0,At Risk
PMN-1165,Urban Development Infrastructure Package 165,Urban Development,Bihar,Municipal Corporation,55.95,40.6,6.5,49.2,18,2,0,79.0,7.1,3,Contractor capacity,8.3,39.0,At Risk
PMN-1166,Water Infrastructure Package 166,Water & Sanitation,Gujarat,Rural Works Department,278.94,71.9,58.5,73.2,35,2,1,64.7,5.6,3,Design change,19.4,58.2,At Risk
PMN-1167,Education Infrastructure Package 167,Education,Karnataka,State PWD,677.56,45.1,59.9,78.2,84,1,0,65.5,6.9,3,Clearance dependency,23.4,100.0,At Risk
PMN-1168,Education Infrastructure Package 168,Education,Tamil Nadu,Rural Works Department,339.33,65.0,35.2,46.8,0,1,0,50.1,6.8,1,Land acquisition,7.4,0.0,On Track
PMN-1169,Health Infrastructure Package 169,Health,Gujarat,Health Infrastructure Cell,94.03,58.2,51.1,100.0,102,3,0,53.9,5.4,4,Contractor capacity,37.1,100.0,At Risk
PMN-1170,Health Infrastructure Package 170,Health,Karnataka,Health Infrastructure Cell,473.44,85.4,90.8,79.6,0,0,0,83.8,7.1,1,Land acquisition,9.6,6.8,On Track
PMN-1171,Water Infrastructure Package 171,Water & Sanitation,Bihar,Municipal Corporation,719.57,56.5,53.7,53.8,0,2,0,53.1,6.4,3,Clearance dependency,24.6,3.9,On Track
PMN-1172,Health Infrastructure Package 172,Health,Bihar,State PWD,243.75,31.2,2.0,64.8,114,3,0,54.8,7.3,3,Land acquisition,28.9,100.0,At Risk
PMN-1173,Health Infrastructure Package 173,Health,Karnataka,Rural Works Department,381.55,37.6,40.2,59.7,40,2,0,63.2,4.3,4,Monsoon disruption,26.4,67.8,At Risk
PMN-1174,Water Infrastructure Package 174,Water & Sanitation,Maharashtra,Urban Development Authority,347.33,47.8,43.5,89.4,98,6,0,75.0,4.1,2,Material price escalation,31.1,100.0,At Risk
PMN-1175,Education Infrastructure Package 175,Education,Gujarat,Municipal Corporation,594.96,80.5,89.9,68.6,0,2,0,60.7,2.0,3,Material price escalation,1.0,10.7,On Track
PMN-1176,Education Infrastructure Package 176,Education,Karnataka,Rural Works Department,95.75,89.6,85.1,55.0,0,2,0,54.5,6.7,2,Contractor capacity,2.5,0.0,On Track
PMN-1177,Roads Infrastructure Package 177,Roads & Transport,Tamil Nadu,State PWD,238.54,60.8,59.2,100.0,122,2,1,62.6,4.6,2,Material price escalation,49.4,100.0,At Risk
PMN-1178,Education Infrastructure Package 178,Education,Gujarat,Health Infrastructure Cell,284.56,43.4,40.5,69.6,69,5,0,58.6,3.6,4,Design change,38.7,100.0,At Risk
PMN-1179,Education Infrastructure Package 179,Education,Rajasthan,Municipal Corporation,437.64,74.0,98.3,60.6,0,1,0,84.3,5.1,1,Land acquisition,11.1,5.2,On Track
PMN-1180,Energy Infrastructure Package 180,Energy,Bihar,State PWD,654.58,46.4,5.9,87.4,107,4,0,35.8,7.2,3,Contractor capacity,26.2,100.0,At Risk
